bstopnm,geometry,ADM_NM
금수사,POINT (129.0307666667 35.1198316667),초량6동
금수사,POINT (129.030070292383 35.119633203489),초량6동
초량6동주민센터,POINT (129.0337366667 35.1201366667),초량6동
초량6동주민센터,POINT (129.03457 35.120155),초량6동
(구)해룡약국,POINT (129.0361216667 35.119645),초량2동
화신아파트,POINT (129.0300883333 35.1185183333),초량2동
화신아파트,POINT (129.0306366667 35.11845),초량2동
동일파크맨션,POINT (129.033616358881 35.116875118519),초량2동
동일파크맨션,POINT (129.033728654373 35.117059840336),초량2동
부산역후문,POINT (129.0430416667 35.1143116667),초량3동
부산역후문,POINT (129.043485 35.1142466),초량3동
국민은행,POINT (129.0396433333 35.11718),초량2동
초량지구대,POINT (129.037728642867 35.117926224452),초량2동
초량지구대,POINT (129.0379783333 35.1180966667),초량2동
부산고교,POINT (129.038198 35.120503),초량2동
부산고교,POINT (129.038364819986 35.120286666322),초량2동
부산고교,POINT (129.039068675978 35.120528574982),초량3동
부산고교,POINT (129.03882188478 35.119506298446),초량2동
초량시장입구,POINT (129.040797663024 35.11864626729),초량3동
부산역.초량시장입구,POINT (129.040142473547 35.116873156872),초량2동
초량역3번출구,POINT (129.041653 35.119834),초량3동
(구)성분도병원,POINT (129.0403283333 35.1225983333),초량3동
경남여중,POINT (129.042385 35.1241133333),수정1동
인창병원,POINT (129.0429316667 35.1226833333),초량3동
인창병원,POINT (129.042925295539 35.122466618146),초량3동
4부두,POINT (129.047539495334 35.119299661743),초량3동
4부두,POINT (129.047291828034 35.119755731619),초량3동
고관입구,POINT (129.0453733333 35.1263483333),수정2동
동구청,POINT (129.045055 35.1268433333),수정2동
동구청,POINT (129.044828300516 35.126812281603),수정4동
수정시장,POINT (129.04634 35.12862),수정2동
수정시장,POINT (129.0468266667 35.1291033333),수정2동
수정초등학교,POINT (129.046895 35.1307366667),수정2동
부두119안전센터,POINT (129.05139833312 35.125673579411),범일5동
부두119안전센터,POINT (129.050723 35.125777),범일5동
남해지방해양경찰청,POINT (129.05485 35.127555),범일5동
남해지방해양경찰청,POINT (129.0545616667 35.1275183333),범일5동
범일5동주민센터,POINT (129.05423 35.1304233333),범일5동
범일5동주민센터,POINT (129.0546233333 35.1309133333),범일5동
대양산업,POINT (129.0573333333 35.1313266667),범일5동
대양산업,POINT (129.058905 35.131355),범일5동
보급창,POINT (129.059665 35.132115),범일5동
자성대,POINT (129.06077 35.1345866667),범일2동
자성대,POINT (129.0628766667 35.1359116667),범일2동
좌천동가구거리(좌천역),POINT (129.0552366667 35.13527),좌천동
좌천동가구거리(좌천역),POINT (129.055523207465 35.135147690426),좌천동
자성대,POINT (129.0623366667 35.13729),범일2동
시민회관.동부산우체국,POINT (129.0625433333 35.1382933333),범일2동
시민회관.동부산우체국,POINT (129.06247320252 35.138890600884),범일2동
범일동국민은행,POINT (129.06087836314 35.138925949637),범일2동
자유.평화시장,POINT (129.060251532728 35.140635497141),범일2동
자유.평화시장,POINT (129.060543288351 35.140914790142),범일2동
덕림아파트,POINT (129.038486112595 35.126315531405),수정1동
인창병원,POINT (129.0423566667 35.1220683333),초량3동
초량어린이집,POINT (129.031843628851 35.119681130118),초량6동
초량어린이집,POINT (129.03185 35.1195583333),초량6동
(구)해룡약국,POINT (129.0356266667 35.1198483333),초량6동
부산서중학교,POINT (129.0348 35.12586),초량6동
수정4동(종점),POINT (129.0387633333 35.1274166667),수정4동
범5호교,POINT (129.0630216667 35.14061),범일2동
범일초등학교입구,POINT (129.051478 35.139865),범일1동
나웅하이빌,POINT (129.053638 35.1388205),범일1동
나웅하이빌,POINT (129.053596 35.1390224),범일1동
문화아파트,POINT (129.053811 35.1364916),좌천동
문화아파트,POINT (129.053998 35.1364147),좌천동
금성고등학교,POINT (129.05213 35.1344761),좌천동
금성고등학교,POINT (129.052361 35.1345623),좌천동
좌이경로당,POINT (129.049849 35.1329991),좌천동
좌이경로당,POINT (129.049795 35.132828),좌천동
하승빌라,POINT (129.048035 35.1341937),좌천동
하승빌라,POINT (129.047909 35.1342808),좌천동
아르미나아파트,POINT (129.035788858531 35.125520955754),수정1동
수정1동공영주차장,POINT (129.039024117153 35.124840236452),수정1동
이편한세상부산항.(구)성분도병원,POINT (129.040083141888 35.122443302682),초량3동
한성기린아파트,POINT (129.056577009501 35.139135669862),범일1동
부산서중학교,POINT (129.0378607 35.12547035),수정1동
범일초등학교입구,POINT (129.0514351 35.14003167),범일1동
한림유치원,POINT (129.0399311 35.12393281),초량3동
부산항국제여객터미널,POINT (129.04830513064 35.117760841194),초량3동
부산항국제여객터미널입구,POINT (129.047517553436 35.117625459588),초량3동
범일5동주민센터,POINT (129.0551198 35.13124593),범일5동
수정산가족체육공원입구,POINT (129.0404965 35.13175671),수정2동
걸스카우트회관,POINT (129.039373676377 35.122912590858),초량3동
부산고교,POINT (129.038762522666 35.120615878985),초량3동
눌원빌딩,POINT (129.065251618358 35.136843313839),범일2동
수정성당입구,POINT (129.046217569745 35.132651494759),좌천동
안창마을입구,POINT (129.04819 35.1444),범천2동
범일역,POINT (129.059289136036 35.137490042263),범일2동
범일역,POINT (129.059506984816 35.138734451885),범일2동
부산진시장,POINT (129.059323419355 35.135367215802),범일2동
부산진시장,POINT (129.059549240551 35.136710618432),범일2동
자성대교차로,POINT (129.058841097869 35.134183623),범일5동
좌천역.좌천삼거리,POINT (129.053866056213 35.133083023835),좌천동
봉생병원,POINT (129.050504421228 35.130591936352),수정2동
봉생병원,POINT (129.050979181137 35.13071456899),좌천동
부산진역,POINT (129.048828014322 35.128917091969),수정2동
부산진역,POINT (129.048807344588 35.128529939265),수정2동
YMCA,POINT (129.045076946999 35.125204572506),초량3동
YMCA,POINT (129.045613209765 35.125375753103),초량3동
경남여중입구,POINT (129.043792356449 35.122959807828),초량3동
경남여중입구,POINT (129.043835132117 35.122476960416),초량3동
초량역.초량교차로,POINT (129.042363344121 35.12019928914),초량3동
초량역.초량교차로,POINT (129.042282382246 35.119592363789),초량3동
부산역,POINT (129.040012168729 35.116079994008),초량2동
부산역,POINT (129.039971845779 35.115562499319),초량3동
미광마린타워,POINT (129.043095 35.0936083333),봉래1동
영도봉래시장,POINT (129.0432416667 35.0933283333),봉래1동
해동병원,POINT (129.0441416667 35.091975),봉래1동
해동병원,POINT (129.044298988292 35.091213963098),영선1동
영선119안전센터,POINT (129.04319 35.0901633333),영선1동
영선119안전센터,POINT (129.043375648891 35.08958066131),영선1동
영도우체국,POINT (129.04201419057 35.091480660309),남항동
영도우체국,POINT (129.0415266667 35.0915466667),남항동
영도우체국,POINT (129.0410983333 35.091685),남항동
대교동,POINT (129.0386566667 35.0926216667),남항동
영도경찰서,POINT (129.0377683333 35.09299),남항동
영도경찰서,POINT (129.0372566667 35.093105),남항동
영도경찰서,POINT (129.037628 35.092899),남항동
깡깡이예술마을,POINT (129.0374416667 35.09129),남항동
깡깡이예술마을,POINT (129.037445 35.0910983333),남항동
남항동,POINT (129.03854 35.0901166667),남항동
대교사거리,POINT (129.039461913257 35.091462519426),남항동
남항동,POINT (129.0383 35.08939),남항동
남항동,POINT (129.03851 35.0891616667),남항동
태종대초등학교,POINT (129.081115 35.0648966667),동삼2동
남항시장,POINT (129.04245 35.088785),영선1동
남항시장,POINT (129.042715289341 35.088308861009),영선1동
차고지,POINT (129.0812560169 35.0634140899),동삼2동
영선아랫교차로,POINT (129.04011 35.0862316667),영선2동
영선아랫교차로,POINT (129.0402516667 35.0862316667),영선2동
