관리번호,대로별,설치장소,전자운영,설치일자,형태,구군,주소,위도,경도,데이터기준일자
16101,산단로,예림리 대송테크주변, , ,교차로,기장군,정관면 예림리 1086,35.32085,129.21038,2023-07-25
16102,정관로,정관 예림마을, , ,교차로,기장군,기장군 정관읍 정관로 865,35.32524781,129.2068608,2023-07-25
16103,정관로,정관 세명부동산, , ,교차로,기장군,기장군 정관면 예림리 833-9,35.32402568,129.2019704,2023-07-25
16104,정관로,정관소방PB, , ,교차로,기장군,정관면 예림리 305-1,35.32447,129.21308,2023-07-25
16105,정관로,정관LPG충전소, , ,교차로,기장군,기장군 정관읍 정관로 895,35.32452548,129.2096875,2023-07-25
15128, ,청도슈퍼, , ,교차로,사상구,사상구 새벽로 140,35.15351589,128.9831656,2023-07-25
15129, ,"모라주공3,4단지입구", , ,교차로,사상구,사상구 모라3동 1243,35.18889283,128.9879513,2023-07-25
15130, ,구 사상구청앞, , ,교차로,사상구,사상구 새벽시장로 120,35.15390092,128.9868031,2023-07-25
15131, ,괘법동경부선철도굴다리, , ,교차로,사상구,사상구 백양대로646번길 48,35.1641144,128.9889353,2023-07-25
15133, ,학진초교, , ,교차로,사상구,사상구 엄궁동 595-66,35.13330667,128.9731017,2023-07-25
15134,가야대로,동서대입구, , ,교차로,사상구,사상구 가야대로 352,35.15075258,129.0111184,2023-07-25
15135, ,주감초등학교 정문, , ,단일로,사상구,사상구 양지로30번길 5,35.15462578,129.0027921,2023-07-25
15136, ,구학초등학교, , ,단일로,사상구,사상구 학감대로 49,35.13775763,128.9922152,2023-07-25
15137,낙동대로,감전동 E마트, , ,교차로,사상구,사상구 낙동대로 910,35.14137668,128.9705532,2023-07-25
15140,백양대로,협진태양쇼핑프라자, , ,교차로,사상구,북구 백양대로 1025,35.19791216,128.9949898,2023-07-25
15141,백양대로,신주례LG아파트, , ,교차로,사상구,사상구 백야대로342번길 17,35.159731,128.9859406,2023-07-25
15142, ,고궁예식장, , ,단일로,사상구,사상구 광장로 19,35.16315163,128.9787483,2023-07-25
15143, ,고구려참숯갈비, , ,단일로,사상구,사상구 엄궁로 15,35.12481864,128.968206,2023-07-25
15144, ,엄궁제일유치원, , ,단일로,사상구,사상구 엄궁로99번길 8,35.1249572,128.9756464,2023-07-25
15144, ,엄궁쌍용아파트출입구, , ,교차로,사상구,사상구 엄궁로 100,35.12503062,128.9766018,2023-07-25
15145, ,엄궁쌍용사거리, , ,교차로,사상구,사상구 엄궁동 55,35.128036,128.9739057,2023-07-25
15148,백양대로,덕포지하차도, , ,교차로,사상구,사상구 덕상로 1,35.17180812,128.988348,2023-07-25
15149,백양대로,모덕초교, , ,교차로,사상구,사상구 덕상로 129,35.18331887,128.9905627,2023-07-25
15150, ,강변대로 주유소 앞, , ,교차로,사상구,사상구 강변대로 412,35.1220913,128.9620628,2023-07-25
