구군명,위도,경도,총합계,데이터기준일자,위치명,구간시점,구간종점,식재거리 km,메타세콰이아,칠엽수,중국단풍,팽나무,튤립나무,단풍나무,벽오동,대왕참나무,감나무,산딸나무,모과나무,왕벚나무,느티나무,버즘나무,양버즘,이팝나무,회화나무,모감주,계수나무,가죽나무,황벽나무,수양버들,복자기,느릅나무,대추나무,후박나무,먼나무,해송,가시나무,구실잣밤나무,개잎갈나무,녹나무,참식,주목,아왜나무,은행나무,가이즈카향나무,기타나무
부산광역시 동래구,35.1969264866,129.0863544197,98,2023-12-31,부산광역시 동래구 수안로,명륜로(동일주유소),온천천로,1.15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,98, , 
부산광역시 동래구,35.1990511927,129.0904196636,38,2023-12-31,부산광역시 동래구 낙민로,충렬대로,동래역,0.2, , , , , , , , , , , , ,38, , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.1998628578,129.1143423949,67,2023-12-31,부산광역시 동래구 삼어로,안락현대아파트,해운대구 경계,0.4, , , , , , , , , , , ,67, , , , , , , , , , , , , , , , , , , , , , , , , , 
동구,35.13061535,129.0461119,27,2024-08-13,범일로,부산은행 ,동부산우체국,560,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,
동구,35.13061535,129.0461119,17,2024-08-13,범일로,금탑주차타워,부산은행,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,
부산광역시 동래구,35.2080605641,129.0927174693,46,2023-12-31,부산광역시 동래구 복천로,동래로,복천박물관,0.27, , , , , , , , , , , , , , , ,46, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.2075836434,129.0872451523,10,2023-12-31,부산광역시 동래구 복천로5번길,복천로,동래복천현대아파트,0.12, , , , , , , , , , , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.2020028840,129.0677100899,6,2023-12-31,부산광역시 동래구 아시아드대로208번길,르노자동차서비스 온천점,이마트24 미남원룸점,0.05, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , , 
부산광역시 동래구,35.2015449901,129.0986242857,365,2023-12-31,부산광역시 동래구 반송로,연안교,금정구 경계,4.2,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,311, , 
부산광역시 동래구,35.2062655392,129.0804667032,4,2023-12-31,부산광역시 동래구 명륜로139번길,명륜자이입구,GS25명륜점,0.05, , , , , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.1955822380,129.0601524605,179,2023-12-31,부산광역시 동래구 사직로,아시아드대로,원광사,2, , , , , , , , , , , , ,179, , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.1945868439,129.0639704886,67,2023-12-31,부산광역시 동래구 종합운동장로,사직로,연제구 경계,0.35, , , , , , , , , , , , ,67, , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.1963474146,129.0715101839,215,2023-12-31,부산광역시 동래구 여고로,구 송월타올,종합운동장로,2, , , , , , , , , , , , ,79, , , , , , , , , , , , , , , , , , , , , , ,136, , 
부산광역시 동래구,35.2012197177,129.0716926813,10,2023-12-31,부산광역시 동래구 여고북로,사직통합재개발준비추진위원회,테피드,0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , , , , 
부산광역시 동래구,35.2014322225,129.0696006755,226,2023-12-31,부산광역시 동래구 미남로,미남교차로,법원어귀사거리,2.4, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,225, , 
부산광역시 동래구,35.2170852798,129.0815893877,82,2023-12-31,부산광역시 동래구 온천장로,송학광장,금강공원로,1.5, , , , , , , , , , , , ,1, , , , , , , , , , , , , ,41, , , , , , , , ,40, , 
부산광역시 동래구,35.2204996001,129.0827443242,13,2023-12-31,부산광역시 동래구 온천장로107번길,온천장로,허심청,0.25, , , , , , , , , , , , , , , , , , , , , , , , , , ,13, , , , , , , , , , , 
부산광역시 동래구,35.2155944501,129.0743396918,59,2023-12-31,부산광역시 동래구 금강로59번길,금강로,전자공업고등학교 정문,0.5,7, , , , ,48, , , , , ,2,1, , , , , , , , , , , , , , , , , ,1, , , , , , , 
부산광역시 동래구,35.1958350556,129.0846100773,417,2023-12-31,부산광역시 동래구 온천천로,온천교,안락교,5, , , , , , , , , , , ,300, , , ,8, , , , , , , , , ,5,5,67,12, ,4, , , , ,10,6, 
