기관명,위반일자,위반시각,위반장소명,데이터기준일자
부산광역시 사하구,2024-08-01,10:27:36,장림동 장림시장7길,2024-11-30
부산광역시 사하구,2024-08-01,10:52:43,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:51:18,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:53:43,장림동 장림로173번길,2024-11-30
부산광역시 사하구,2024-08-01,10:50:50,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:44:44,장림동 장림로,2024-11-30
부산광역시 사하구,2024-08-01,10:52:54,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,14:31:36,신평동 신산로,2024-11-30
부산광역시 사하구,2024-08-01,10:51:26,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:52:55,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:51:21,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,14:32:25,신평동 신산로,2024-11-30
부산광역시 사하구,2024-08-01,10:53:00,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:44:46,장림동 장림로,2024-11-30
부산광역시 사하구,2024-08-01,10:52:12,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:44:58,장림동 장림로,2024-11-30
부산광역시 사하구,2024-08-01,10:45:00,장림동 장림로,2024-11-30
부산광역시 사하구,2024-08-01,10:44:54,장림동 장림로,2024-11-30
부산광역시 사하구,2024-08-01,10:51:52,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:52:49,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:51:28,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:52:27,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:51:15,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:52:46,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:51:08,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:51:30,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:50:45,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:50:54,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:45:36,장림동 장림로,2024-11-30
부산광역시 사하구,2024-08-01,10:52:45,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:52:10,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:52:05,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:58:20,장림동 장림로,2024-11-30
부산광역시 사하구,2024-08-01,10:52:14,장림동 장평로195번길,2024-11-30
부산광역시 사하구,2024-08-01,10:51:36,괴정동 오작로,2024-11-30
부산광역시 사하구,2024-08-01,14:34:42,괴정동 낙동대로,2024-11-30
부산광역시 사하구,2024-08-01,10:55:53,괴정동 사리로,2024-11-30
부산광역시 사하구,2024-08-01,10:56:01,괴정동 사리로,2024-11-30
부산광역시 사하구,2024-08-01,09:47:34,괴정동 회화나무길,2024-11-30
부산광역시 사하구,2024-08-01,14:34:33,괴정동 낙동대로,2024-11-30
