구군명,위반일자,위반장소명
강서구,2023-01-07 18:20,중흥S클래스프라디움
강서구,2023-01-07 18:22,국내선1층
강서구,2023-01-07 18:47,녹산초등학교인근
강서구,2023-01-07 18:53,금강펜테리움 2차 교차로
강서구,2023-01-07 19:09,송정동 24번 교차로인근
강서구,2023-01-07 19:50,녹산초등학교인근
강서구,2023-01-07 20:18,국내선1층
강서구,2023-01-07 20:18,녹산초등학교인근
강서구,2023-01-07 20:20,에일린의 뜰 104동 주변
강서구,2023-01-07 20:27,금강펜테리움 2차 교차로
강서구,2023-01-07 21:06,금강펜테리움 2차 교차로
강서구,2023-01-07 21:06,에일린의 뜰 104동 주변
강서구,2023-01-07 21:10,노블랜드오션뷰101동주변
강서구,2023-01-07 21:13,김해공항 국내선4GATE 앞
강서구,2023-01-07 21:19,대저2동 3149
강서구,2023-01-07 21:21,송정동 24번 교차로인근
강서구,2023-01-07 21:43,송정동 24번 교차로인근
강서구,2023-01-07 21:45,명지차량등록사업소
강서구,2023-01-07 22:03,에일린의 뜰 104동 주변
강서구,2023-01-07 22:27,국제선2층
강서구,2023-02-21 10:01,송정동 1624
강서구,2023-02-21 10:26,명지동 3359
강서구,2023-02-21 12:25,명지동 3283
강서구,2023-02-21 13:17,녹산동 344-2
강서구,2023-02-21 13:56,송정동 1518
강서구,2023-02-21 13:56,송정동 1518
강서구,2023-02-21 14:19,에일린의 뜰 104동 주변
강서구,2023-02-21 14:19,송정초등학교 교차로
강서구,2023-02-21 14:28,신호동 312
강서구,2023-02-21 14:43,신호동 부영2차아파트 주
강서구,2023-02-21 15:00,마음마을 주변
강서구,2023-02-21 15:03,대저1동 1229
강서구,2023-02-21 15:23,노블랜드오션뷰104동주변
강서구,2023-02-21 15:35,글로벌새싹어린이집 인근
강서구,2023-02-21 15:47,한솔학교사거리인근
강서구,2023-02-21 15:53,대저2동 3135
강서구,2023-02-21 16:14,김해공항국제선2층 입구
강서구,2023-02-21 16:20,노블랜드오션뷰104동주변
강서구,2023-02-21 16:38,명지동 3272
강서구,2023-02-21 16:40,에일린의 뜰 104동 주변
강서구,2023-02-21 16:53,신호동 부영2차아파트 주
강서구,2023-02-21 17:53,오션초등학교인근
강서구,2023-02-21 17:56,명지동 3363-7
강서구,2023-02-21 17:58,한솔학교사거리인근
강서구,2023-02-21 17:58,명지동 3363-7
강서구,2023-03-16 12:43,송정동 1657
강서구,2023-03-16 12:52,지사동 1252
강서구,2023-03-16 13:27,명지동 3655
강서구,2023-03-16 13:33,명지동 3556
강서구,2023-03-16 13:37,명지동 3547
강서구,2023-03-16 13:40,명지동 3547
강서구,2023-03-16 13:47,명지동 3423
강서구,2023-03-16 13:55,대저2동 3149
강서구,2023-03-16 13:57,송정동 1624
강서구,2023-03-16 14:07,명지동 2012-1
강서구,2023-03-16 14:07,명지동 3412-6
강서구,2023-03-16 14:10,노블랜드오션뷰104동주변
강서구,2023-03-16 14:10,명지동 3413
강서구,2023-03-16 14:12,에일린의 뜰 104동 주변
강서구,2023-03-16 14:14,국내선2층
강서구,2023-03-16 14:16,명지동 3613
강서구,2023-03-16 14:20,강서구청정문
강서구,2023-03-16 14:20,명지동 3611
강서구,2023-03-16 14:46,국내선1층
강서구,2023-03-16 14:58,국내선2층
강서구,2023-03-16 15:02,김해공항 국내선4GATE 앞
강서구,2023-03-16 15:05,명지동 3271
강서구,2023-03-16 15:13,명지동 3280
강서구,2023-03-16 15:14,명지동 3280
강서구,2023-03-16 15:21,송정초등학교 교차로
강서구,2023-01-07 22:50,중흥S클래스프라디움
강서구,2023-01-07 23:02,신호동 303
강서구,2023-01-07 23:10,신호동 303
강서구,2023-01-07 23:12,신호동 303
강서구,2023-01-07 23:37,신호동 212
강서구,2023-01-08 02:03,대저2동 3150-2
강서구,2023-01-08 04:18,명지동 3441
강서구,2023-01-08 04:33,명지동 3460
강서구,2023-01-08 04:38,명지동 3456
강서구,2023-01-08 04:44,명지동 3452
강서구,2023-01-08 04:48,명지동 3452
강서구,2023-01-08 05:30,대저2동 3149
강서구,2023-01-08 07:23,삼우MCP 건너편
강서구,2023-01-08 07:32,국제선1층
강서구,2023-01-08 07:43,명지초등학교사거리인근
강서구,2023-01-08 07:46,한솔학교사거리인근
강서구,2023-01-08 07:48,삼우MCP 건너편
강서구,2023-01-08 07:48,명지동 3234
강서구,2023-01-08 07:49,명지동 3234
강서구,2023-01-08 07:49,명지동 3234
강서구,2023-01-08 07:56,명지초등학교사거리인근
강서구,2023-01-08 08:00,국제선1층
강서구,2023-01-08 08:07,명지동 3236
강서구,2023-01-08 08:09,명지동 3236-3
강서구,2023-01-08 08:13,명지동 3235
강서구,2023-01-08 08:23,대저2동 3136-1
강서구,2023-01-08 09:07,노블랜드오션뷰104동주변
강서구,2023-01-08 09:25,국내선2층
강서구,2023-01-08 09:27,노블랜드오션뷰104동주변
강서구,2023-01-08 09:56,대방노블랜드2차인근
강서구,2023-01-08 10:14,금강펜테리움 2차 교차로
강서구,2023-01-08 10:22,노블랜드오션뷰101동주변
강서구,2023-01-08 10:42,김해공항 U턴교차로 주변
강서구,2023-01-08 10:49,에일린의 뜰 104동 주변
강서구,2023-01-08 10:54,명지차량등록사업소
강서구,2023-01-08 11:13,신호동 268
강서구,2023-01-08 12:13,명지동 3508-1
강서구,2023-01-08 13:19,명지동 3359
강서구,2023-01-08 13:46,명지동 3272
강서구,2023-01-08 14:09,노블랜드오션뷰101동주변
강서구,2023-01-08 14:15,송정동 1629
강서구,2023-01-08 14:34,노블랜드오션뷰101동주변
강서구,2023-01-08 14:45,명지동 3231
강서구,2023-01-08 14:56,명지차량등록사업소
강서구,2023-01-08 15:04,신호동 243-2
강서구,2023-01-08 15:06,명지동 3454
강서구,2023-01-08 15:26,에일린의 뜰 104동 주변
강서구,2023-01-08 15:29,신호동 216-10
강서구,2023-01-08 15:55,에일린의 뜰 104동 주변
강서구,2023-01-08 16:28,에일린의 뜰 104동 주변
강서구,2023-01-08 16:38,노블랜드오션뷰104동주변
강서구,2023-01-08 16:51,명지동 3284
강서구,2023-01-08 17:05,중흥S클래스프라디움
강서구,2023-01-08 17:43,명지차량등록사업소
강서구,2023-01-08 17:49,명일초등학교앞삼거리
강서구,2023-01-08 17:59,명지동 3253-4
강서구,2023-01-08 18:35,금강펜테리움 2차 교차로
강서구,2023-01-08 18:55,명일초등학교앞삼거리
강서구,2023-01-08 19:14,금강펜테리움 2차 교차로
강서구,2023-01-08 19:14,송정동 24번 교차로인근
강서구,2023-01-08 19:15,국내선2층
강서구,2023-01-08 19:32,국제화물청사앞
강서구,2023-01-08 19:44,금강펜테리움 2차 교차로
강서구,2023-01-08 19:54,국내선2층
강서구,2023-01-08 20:01,중흥S클래스프라디움
강서구,2023-01-08 20:17,꿈바위 어린이집인근
강서구,2023-01-08 20:29,한솔학교사거리인근
강서구,2023-01-08 20:49,대방노블랜드2차인근
강서구,2023-01-08 21:15,명지동 3329
강서구,2023-01-08 21:39,신호동 부영2차아파트 주
강서구,2023-01-08 21:41,노블랜드오션뷰101동주변
강서구,2023-01-08 21:44,노블랜드오션뷰104동주변
강서구,2023-01-08 21:53,국내선1층
강서구,2023-01-08 22:20,송정동 24번 교차로인근
강서구,2023-01-08 22:30,명지동 3248-12
강서구,2023-01-08 23:11,명지동 3229-17
강서구,2023-01-08 23:37,대저1동 2388-25
강서구,2023-01-08 23:38,명지동 3247-1
강서구,2023-01-09 07:04,꿈바위 어린이집인근
강서구,2023-01-09 07:07,한솔학교사거리인근
강서구,2023-01-09 07:50,글로벌새싹어린이집 인근
강서구,2023-01-09 07:50,중흥S클래스프라디움
강서구,2023-01-09 08:05,국제선2층
강서구,2023-01-09 08:20,녹산산단 36번신호등 주
강서구,2023-01-09 08:34,대저2동 3151
강서구,2023-01-09 09:00,송정동 1506-1
강서구,2023-01-09 09:24,한솔학교사거리인근
강서구,2023-01-09 09:49,명지차량등록사업소
강서구,2023-01-09 10:00,중흥S클래스프라디움
강서구,2023-02-05 09:13,국내선1층
강서구,2023-02-05 09:23,신호동 268
강서구,2023-02-05 09:36,신호동 268
강서구,2023-02-05 09:38,국내선2층
강서구,2023-02-05 09:59,신호동 279
강서구,2023-02-05 10:22,에일린의 뜰 104동 주변
강서구,2023-02-05 10:24,금강펜테리움 2차 교차로
강서구,2023-02-05 10:31,국제선2층
강서구,2023-02-05 10:38,국내선1층
강서구,2023-02-05 13:23,명지동 3282
강서구,2023-02-05 13:26,명지동 3281
강서구,2023-02-05 13:27,명지동 3281
