위반일자,위반일시,위반장소명
2024-01-15 18:15,영선동1가 136-1 인도,
2024-01-15 19:51,봉래동4가 47-1 인도,
2024-01-21 14:35,영선동2가191-1 버스정류소,
2024-01-22 00:05,봉래동2가 117-38 횡단보도,
2024-01-22 06:57,신선동1가 75-1 인도,
2024-01-22 10:50,영선동2가 192-5 교차로모퉁이,
2024-01-22 11:06,영선동2가 192-5 교차로모퉁이,
2024-01-22 08:21,봉학초등학교 주변-1,
2024-01-22 09:07,2 영도 메디컬빌딩 부근,
2024-01-22 09:10,대교초등학교 주변-2,
2024-01-22 10:25,Do한국해양교회,
2024-01-22 10:34,대교초등학교 주변-2,
2024-01-22 10:44,3 남항사거리부근,
2024-01-22 10:48,1남항동 세븐일레븐주변,
2024-01-22 11:48,대교초등학교 주변-2,
2024-01-22 14:13,1남항동 세븐일레븐주변,
2024-01-22 14:15,2 농협영도지점주변,
2024-01-22 14:23,영선불고기-1,
2024-01-22 14:38,대교초등학교 주변-2,
2024-01-22 15:50,동삼동농협 주변 보조카,
2024-01-22 15:58,대동대교맨션 주변-2,
2024-01-22 16:08,4 농협영도지점주변,
2024-01-22 16:22,대동대교맨션 주변-1,
2024-01-22 16:46,영선불고기-1,
2024-01-22 16:54,2 남항사거리부근,
2024-01-22 17:53,남항동KT-1,
2024-01-22 18:22,대동대교맨션 주변-3,
2024-01-22 18:34,동삼동농협 주변 보조카,
2024-01-22 18:34,청동초등학교2-2,
2024-01-22 18:40,동삼동농협 주변 보조카,
2024-01-15 20:15,영선동1가 136-1 교차로모퉁이,
2024-01-15 18:06,대교동1가 104-2 횡단보도,
2024-01-15 15:05,청학동 해양로,
2024-01-15 19:49,봉래동4가47-1 소화전,
2024-01-16 08:16,대동대교맨션 주변-2,
2024-01-16 09:00,청동초등학교1-1,
2024-01-16 09:39,2 영도 메디컬빌딩 부근,
2024-01-16 09:59,청동초등학교1-1,
2024-01-16 10:15,해안관광도로 감지 입구,
2024-01-16 10:43,대동대교맨션 주변-4,
2024-01-16 10:45,영선아파트주변-2,
2024-01-16 10:45,영선아파트주변-2,
2024-01-16 14:14,동삼동농협 주변 보조카,
2024-01-16 14:14,동삼동농협 주변 보조카,
2024-01-16 14:18,태종대회전교차로주변-4,
2024-01-16 14:27,동삼동 농협,
2024-01-16 15:25,동삼동농협 주변 보조카,
2024-01-16 15:51,대동대교맨션 주변-2,
2024-01-16 16:38,동삼동농협 주변 보조카,
2024-01-16 18:30,1 농협영도지점주변,
2024-01-16 19:09,대교초등학교 주변-3,
2024-01-16 19:19,영선불고기-1,
2024-01-16 19:37,영선불고기-3,
2024-01-16 10:42,신선동2가 남항시장길,
2024-01-16 14:19,영선동2가 절영로49번길,
2024-01-16 14:21,남항동2가 남항로,
2024-01-16 14:30,봉래동4가 봉래나루로,
2024-01-16 14:30,봉래동4가 봉래나루로,
2024-01-16 14:30,봉래동4가 봉래나루로,
2024-01-16 14:31,봉래동3가 봉래나루로,
2024-01-16 14:33,봉래동2가 봉래나루로,
2024-01-16 14:33,봉래동1가 봉래나루로,
2024-01-16 14:33,봉래동1가 봉래나루로,
2024-01-16 14:33,봉래동1가 봉래나루로,
2024-01-16 14:33,봉래동1가 봉래나루로,
2024-01-16 14:33,봉래동1가 봉래나루로,
2024-01-16 14:34,봉래동1가 봉래나루로,
2024-01-16 14:34,봉래동1가 대교로,
2024-01-16 14:36,봉래동3가 절영로7번길,
2024-01-16 14:38,대교동2가 태종로99번길,
2024-01-16 14:38,대교동2가 태종로99번길,
2024-01-16 14:38,봉래동2가 태종로89번길,
2024-01-16 14:47,남항동1가 남항로,
2024-01-16 16:30,남항동1가 남항로9번길,
2024-01-16 16:30,남항동1가 남항로9번길,
2024-01-16 16:31,대교동1가 절영로30번길,
2024-01-16 16:31,대교동1가 절영로30번길,
2024-01-16 16:36,영선동2가 영선대로,
2024-01-16 16:36,영선동2가 영선대로,
2024-01-16 16:38,영선동2가 절영로101번길,
2024-01-16 16:39,영선동3가 절영로101번길,
2024-01-16 10:25,동삼동 와치로,
2024-01-16 10:26,동삼동 와치로,
2024-01-16 10:26,동삼동 와치로,
2024-01-16 10:27,동삼동 중리로,
2024-01-16 10:31,동삼동 동삼로28번길,
2024-01-16 10:31,동삼동 동삼로28번길,
2024-01-16 10:31,동삼동 동삼로28번길,
2024-01-16 10:31,동삼동 동삼로28번길,
2024-01-16 14:04,동삼동 태종로,
2024-01-16 14:05,동삼동 태종로763번길,
2024-01-16 14:05,동삼동 태종로763번길,
2024-01-16 14:06,동삼동 동삼오션로,
2024-01-16 14:07,동삼동 동삼오션로,
2024-01-16 14:07,동삼동 동삼오션로,
2024-01-16 02:15,봉래동1가 126-1 횡단보도,
2024-01-16 06:28,남항동1가 178-1 교차로모퉁이,
2024-01-16 15:45,영선동1가 136-1 교차로모퉁이,
2024-01-16 16:17,봉래동3가 196 교차로모퉁이,
2024-01-16 18:28,영선동2가 245 교차로모퉁이,
2024-01-16 18:40,남항동1가 178-1 교차로모퉁이,
2024-01-16 18:54,영선동3가 6 교차로모퉁이,
2024-01-16 07:08,남항동1가 232-1 교차로모퉁이,
2024-01-16 09:26,신선동1가 210-5 인도,
2024-01-16 09:32,봉래동5가 28-2 인도,
2024-01-16 10:45,영선동2가 50-1 인도,
2024-01-16 10:50,영선동2가 245 인도,
2024-01-16 17:59,영선동4가 256 인도,
2024-01-16 18:54,영선동2가 245 인도,
2024-01-16 18:54,영선동2가 245 인도,
2024-01-16 19:21,영선동3가 74-1 인도,
2024-01-16 19:21,영선동3가 189 인도,
2024-01-16 23:34,봉래동3가 196 인도,
2024-01-16 23:39,봉래동3가 196 인도,
2024-01-16 23:41,봉래동3가 196 인도,
2024-01-17 09:54,청학동 해양로15번길,
2024-01-17 09:54,청학동 해양로,
2024-01-17 09:55,청학동 해양로,
2024-01-17 09:55,청학동 해양로,
2024-01-17 09:55,청학동 해양로,
2024-01-17 09:55,청학동 해양로,
2024-01-17 09:56,청학동 해양로,
2024-01-17 09:56,청학동 해양로,
