부서명,단속일시,단속장소주소
교통행정과,2023-01-05 10:05:00,서동 금사로
교통행정과,2023-01-05 10:05:00,서동 금사로
교통행정과,2023-01-05 10:05:00,서동 금사로
교통행정과,2023-01-05 10:06:00,금사동 금사로
교통행정과,2023-01-05 10:07:00,금사동 공단로
교통행정과,2023-01-05 10:21:00,금사동 금사로
교통행정과,2023-01-05 10:21:00,두구동 대두로
교통행정과,2023-01-05 10:22:00,금사동 금사로
교통행정과,2023-01-05 10:23:00,서동 금사로
교통행정과,2023-01-05 10:23:00,두구동 두구로
교통행정과,2023-01-05 10:24:00,두구동 두구로
교통행정과,2023-01-05 10:24:00,두구동 두구로
교통행정과,2023-01-05 10:24:00,두구동 두구로
교통행정과,2023-01-05 10:32:00,장전동 장전로
교통행정과,2023-01-05 10:36:00,장전동 금강로279번길
교통행정과,2023-01-05 10:37:00,서동 금사로
교통행정과,2023-01-05 10:37:00,장전동 금강로321번길
교통행정과,2023-01-05 10:45:00,장전동 금강로
교통행정과,2023-01-05 10:57:00,장전동 소정로
교통행정과,2023-01-05 11:00:00,장전동 장전로
교통행정과,2023-01-05 11:13:00,장전동 부산대학로49번길
교통행정과,2023-01-05 14:41:00,서동 반송로
교통행정과,2023-01-05 14:46:00,장전동 장전온천천로
교통행정과,2023-01-05 14:50:00,장전동 금강로279번길
교통행정과,2023-01-05 14:51:00,장전동 금강로279번길
교통행정과,2023-01-05 14:57:00,남산동 금강로
교통행정과,2023-01-05 15:06:00,구서동 금강로446번길
교통행정과,2023-01-05 15:07:00,장전동 부산대학로63번길
교통행정과,2023-01-05 15:20:00,장전동 금정로
교통행정과,2023-01-05 15:23:00,서동 서부로
교통행정과,2023-01-05 15:24:00,서동 서부로
교통행정과,2023-01-05 15:25:00,장전동 부산대학로63번길
교통행정과,2023-01-05 15:25:00,서동 서부로16번길
교통행정과,2023-01-05 15:25:00,서동 서부로16번길
교통행정과,2023-01-05 15:26:00,서동 금사로
교통행정과,2023-01-05 15:30:00,서동 서부로
교통행정과,2023-01-05 15:31:00,서동 서부로
교통행정과,2023-01-05 15:31:00,서동 서부로58번길
교통행정과,2023-01-05 15:48:00,장전동 장전로12번길
교통행정과,2023-01-05 15:49:00,서동 서금로
교통행정과,2023-01-05 15:56:00,구서동 부곡온천천로
교통행정과,2023-01-05 16:19:00,장전동 금강로391번길
교통행정과,2023-01-05 16:23:00,서동 서부로
교통행정과,2023-01-05 16:24:00,부곡동 동현로
교통행정과,2023-01-05 16:24:00,부곡동 동현로
교통행정과,2023-01-05 16:25:00,부곡동 동현로
교통행정과,2023-01-05 16:28:00,부곡동 동부곡로6번길
교통행정과,2023-01-05 16:28:00,부곡동 동부곡로6번길
교통행정과,2023-01-05 16:29:00,부곡동 가마실로
교통행정과,2023-01-05 16:29:00,부곡동 가마실로
교통행정과,2023-01-05 16:29:00,부곡동 가마실로
교통행정과,2023-01-05 16:29:00,부곡동 가마실로
교통행정과,2023-01-05 16:32:00,부곡동 부곡로142번길
교통행정과,2023-01-05 16:37:00,부곡동 부곡로156번길
교통행정과,2023-01-05 16:38:00,부곡동 부곡로168번길
교통행정과,2023-01-05 16:38:00,부곡동 부곡로168번길
교통행정과,2023-01-05 16:41:00,남산동 금강로
교통행정과,2023-01-05 16:51:00,남산동 범어천로38번길
교통행정과,2023-01-05 16:51:00,남산동 범어천로38번길
교통행정과,2023-01-05 16:51:00,부곡동 기찰로22번길
교통행정과,2023-01-05 16:52:00,남산동 범어천로
교통행정과,2023-01-05 16:52:00,남산동 금강로
교통행정과,2023-01-05 16:53:00,남산동 범어천로
교통행정과,2023-01-05 16:55:00,남산동 남산로
교통행정과,2023-01-05 16:56:00,남산동 남산로
교통행정과,2023-01-05 16:57:00,남산동 남산로
교통행정과,2023-01-05 16:58:00,부곡동 서부곡로16번길
교통행정과,2023-01-05 16:58:00,남산동 금샘로
교통행정과,2023-01-05 16:59:00,부곡동 서부곡로16번길
교통행정과,2023-01-05 17:00:00,부곡동 서부곡로15번길
교통행정과,2023-01-05 17:00:00,부곡동 서부곡로11번길
교통행정과,2023-01-05 17:04:00,부곡동 오시게로
교통행정과,2023-01-05 17:04:00,부곡동 오시게로12번길
교통행정과,2023-01-05 17:11:00,부곡동 부곡로
교통행정과,2023-01-05 17:11:00,부곡동 부곡로
교통행정과,2023-01-05 17:18:00,부곡동 오륜대로
