year,month,day,hour,value
2021,1, 24,1500.0,8.8
2021,1, 24,1600.0,8.6
2021,1, 24,1700.0,7.9
2021,1, 24,1800.0,7.9
2021,1, 24,1900.0,7.6
2021,1, 24,2000.0,7.5
2021,1, 24,2100.0,7.4
2021,1, 24,2200.0,8.1
2021,1, 24,2300.0,8.9
2021,1, 25,0.0,10.1
2021,1, 25,100.0,11.7
2021,1, 25,200.0,11.7
2021,1, 25,300.0,12.4
2021,1, 25,400.0,12.9
2021,1, 25,500.0,12.4
2021,1, 25,600.0,11.4
2021,1, 25,700.0,10.0
2021,1, 25,800.0,8.9
2021,1, 25,900.0,8.5
2021,1, 25,1000.0,8.5
2021,1, 25,1100.0,8.6
2021,1, 25,1200.0,8.7
2021,1, 25,1300.0,8.8
2021,1, 25,1400.0,8.9
2021,1, 25,1500.0,8.7
2021,1, 25,1600.0,8.7
2021,1, 25,1700.0,8.8
2021,1, 25,1800.0,9.0
2021,1, 25,1900.0,8.5
2021,1, 25,2000.0,8.3
2021,1, 25,2100.0,8.5
2021,1, 25,2200.0,8.2
2021,1, 25,2300.0,8.0
2021,1, 26,0.0,8.0
2021,1, 26,100.0,7.4
2021,1, 26,200.0,7.6
2021,1, 26,300.0,6.8
2021,1, 26,400.0,7.2
2021,1, 26,500.0,7.6
2021,1, 26,600.0,7.2
2021,1, 26,700.0,7.3
2021,1, 26,800.0,7.0
2021,1, 26,900.0,7.1
2021,1, 26,1000.0,6.9
2021,1, 26,1100.0,6.7
2021,1, 26,1200.0,6.7
2021,1, 26,1300.0,7.1
2021,1, 26,1400.0,6.9
2021,1, 26,1500.0,6.4
2021,1, 26,1600.0,6.3
2021,1, 26,1700.0,5.8
2021,1, 26,1800.0,5.6
2021,1, 26,1900.0,5.5
2021,1, 26,2000.0,5.0
2021,1, 26,2100.0,4.2
2021,1, 26,2200.0,4.6
2021,1, 26,2300.0,6.4
2021,1, 27,0.0,7.0
2021,1, 27,100.0,9.0
2021,1, 27,200.0,11.0
2021,1, 27,300.0,12.7
2021,1, 27,400.0,12.2
2021,1, 27,500.0,11.4
2021,1, 27,600.0,9.8
2021,1, 27,700.0,9.2
2021,1, 27,800.0,7.8
2021,1, 27,900.0,7.4
2021,1, 27,1000.0,6.8
2021,1, 27,1100.0,6.4
2021,1, 27,1200.0,6.4
2021,1, 27,1300.0,6.1
2021,1, 27,1400.0,5.9
2021,1, 27,1500.0,5.4
2021,1, 27,1600.0,5.1
2021,1, 27,1700.0,4.9
2021,1, 27,1800.0,4.3
2021,1, 27,1900.0,4.5
2021,1, 27,2000.0,4.4
2021,1, 27,2100.0,4.4
2021,1, 27,2200.0,5.4
2021,1, 27,2300.0,6.7
2021,1, 28,0.0,8.4
2021,1, 28,100.0,8.5
2021,1, 28,200.0,9.8
2021,1, 28,300.0,10.2
2021,1, 28,400.0,10.6
2021,1, 28,500.0,11.0
2021,1, 28,600.0,7.5
2021,1, 28,700.0,5.6
2021,1, 28,800.0,2.4
2021,1, 28,900.0,0.7
2021,1, 28,1000.0,0.1
2021,1, 28,1100.0,-1.0
2021,1, 28,1200.0,-1.6
2021,1, 28,1300.0,-2.3
2021,1, 28,1400.0,-3.0
2021,1, 28,1500.0,-3.5
2021,1, 28,1600.0,-4.0
2021,1, 28,1700.0,-4.8
2021,1, 28,1800.0,-5.2
2021,1, 28,1900.0,-5.7
2021,1, 28,2000.0,-5.9
2021,1, 28,2100.0,-6.2
2021,1, 28,2200.0,-5.7
2021,1, 28,2300.0,-5.3
2021,1, 29,0.0,-4.4
2021,1, 29,100.0,-2.6
2021,1, 29,200.0,-0.2
2021,1, 29,300.0,-0.1
2021,1, 29,400.0,1.5
2021,1, 29,500.0,1.6
2021,1, 29,600.0,2.2
2021,1, 29,700.0,1.3
2021,1, 29,800.0,-0.2
2021,1, 29,900.0,-1.0
2021,1, 29,1000.0,-1.3
2021,1, 29,1100.0,-1.8
2021,1, 29,1200.0,-1.8
2021,1, 29,1300.0,-2.7
2021,1, 29,1400.0,-3.1
2021,1, 29,1500.0,-3.2
2021,1, 29,1600.0,-3.7
2021,1, 29,1700.0,-3.8
2021,1, 29,1800.0,-3.6
2021,1, 29,1900.0,-3.5
2021,1, 29,2000.0,-3.4
2021,1, 29,2100.0,-2.7
2021,1, 29,2200.0,-1.2
2021,1, 29,2300.0,0.3
2021,1, 30,0.0,2.3
2021,1, 30,100.0,4.4
2021,1, 30,200.0,6.2
2021,1, 30,300.0,7.5
2021,1, 30,400.0,8.0
2021,1, 30,500.0,8.5
2021,1, 30,600.0,7.9
2021,1, 30,700.0,7.9
2021,1, 30,800.0,7.1
2021,1, 30,900.0,6.6
2021,1, 30,1000.0,6.7
2021,1, 30,1100.0,6.8
2021,1, 30,1200.0,5.8
2021,1, 30,1300.0,4.9
2021,1, 30,1400.0,4.5
2021,1, 30,1500.0,4.1
2021,1, 30,1600.0,3.6
2021,1, 30,1700.0,4.7
2021,1, 30,1800.0,3.5
2021,1, 30,1900.0,4.0
2021,1, 30,2000.0,4.0
2021,1, 30,2100.0,2.9
2021,1, 30,2200.0,3.7
2021,1, 30,2300.0,7.1
2021,1, 31,0.0,10.0
