읍면동,자동차 등록 대수,인구수,횡단보도 개수,음식점 수,버스정류장 개수,음주 교통사고 건수,음주운전 적발 건수
거제3동,3616,9684,11,29,13,1.09,0.8
거제4동,6075,10001,4,8,15,1.12,0.83
광복동,325,941,0,41,0,0.15,0.08
광안1동,54797,25724,5,56,16,6.2,4.3
광안2동,13270,18789,26,60,20,4.53,3.14
광안3동,4284,9581,6,52,20,2.31,1.6
광안4동,4485,13584,0,17,14,3.27,2.27
괘법동,9205,23504,27,110,37,6.15,5.9
괴정1동,6096,18840,10,39,25,5.32,2.62
괴정2동,4901,15476,1,15,21,4.37,2.15
괴정3동,3367,12042,8,35,15,3.4,1.68
괴정4동,3699,11900,15,18,16,3.36,1.66
구서1동,8999,19234,22,63,36,2.38,2.75
구서2동,12475,32027,13,48,34,3.96,4.59
구평동,6664,12786,31,14,74,3.61,1.78
구포1동,6306,15947,14,74,27,5.33,2.89
구포2동,9036,24551,17,58,40,8.21,4.45
구포3동,6594,19051,6,30,33,6.37,3.46
금곡동,12804,36742,44,39,62,12.29,6.67
금사회동,5967,7554,9,41,52,0.93,1.08
금성동,490,1000,0,31,24,0.12,0.14
기장읍,24032,53029,82,265,222,16.7,17.59
남부민1동,1428,4700,9,21,13,0.55,0.39
남부민2동,2122,8573,4,15,17,1.01,0.71
남산동,10589,27568,22,88,54,3.41,3.95
남천1동,7187,15564,13,91,30,3.75,2.6
남천2동,4840,11731,10,28,10,2.83,1.96
남포동,438,853,4,78,15,0.13,0.08
남항동,3560,10621,22,61,44,0.84,1.27
녹산동,27141,35747,330,144,428,11.35,7.58
다대1동,15079,37674,43,109,93,10.63,5.24
다대2동,9306,26378,4,52,40,7.44,3.67
당감1동,7129,22231,14,68,32,7.36,3.13
당감2동,3354,10029,3,13,4,3.32,1.41
당감4동,3769,10985,19,23,34,3.64,1.55
당리동,9222,25613,17,76,43,7.23,3.56
대연1동,5843,15817,16,80,30,1.45,2.12
대연3동,11963,33110,43,144,66,3.04,4.43
대연4동,4046,12017,12,25,42,1.1,1.61
대연5동,5151,16828,5,49,29,1.55,2.25
대연6동,5673,14955,9,20,29,1.37,2
대저1동,6060,6196,35,41,123,1.97,1.31
대저2동,8997,6960,52,50,119,2.21,1.48
대청동,1422,6082,10,12,17,0.95,0.54
덕천1동,4083,11759,21,30,30,3.93,2.13
덕천2동,3676,11577,21,80,30,3.87,2.1
덕천3동,2950,10424,6,11,17,3.49,1.89
덕포1동,3572,8392,9,22,20,2.2,2.11
덕포2동,4959,12583,17,23,30,3.29,3.16
동광동,729,2549,2,16,6,0.4,0.23
동대신1동,1599,5513,8,7,10,0.65,0.46
동대신2동,1942,6979,8,18,19,0.82,0.58
동대신3동,2034,7491,5,25,32,0.88,0.62
동삼1동,8703,26706,29,71,91,2.11,3.18
동삼2동,1688,4697,8,23,18,0.37,0.56
동삼3동,2188,9335,7,7,37,0.74,1.11
만덕1동,6866,16601,21,19,27,5.55,3.01
만덕2동,10431,26996,14,38,56,9.03,4.9
만덕3동,6844,18204,10,36,25,6.09,3.3
망미1동,9353,27034,9,46,49,6.52,4.52
망미2동,3976,10363,18,25,30,2.5,1.73
명륜동,10300,26401,13,73,52,3.82,3.23
명장1동,4929,13818,7,25,31,2.03,1.72
명장2동,4783,14390,18,9,44,1.96,1.66
명지1동,25150,53652,31,127,126,17.03,11.38
명지2동,13946,30201,58,58,64,9.59,6.41
모라1동,10774,27327,27,78,55,7.15,6.86
모라3동,2279,9774,6,3,20,2.56,2.45
문현1동,5745,12180,7,20,17,1.12,1.63
문현2동,2762,8214,20,16,20,0.76,1.1
문현3동,5781,16706,5,21,13,1.54,2.24
문현4동,3082,8513,10,18,35,0.78,1.14
민락동,11481,28149,31,113,29,6.79,4.71
반송1동,4415,13196,20,45,46,3.08,2.67
반송2동,6875,22331,12,44,25,5.21,4.51
반여1동,16116,34629,60,76,70,8.08,7
반여2동,5647,12192,9,37,16,2.84,2.46
반여3동,2174,8209,2,20,2,1.91,1.66
반여4동,6372,15270,7,5,32,3.56,3.09
범일1동,4227,11408,8,23,42,1.18,0.53
범일2동,2705,7837,18,67,28,0.81,0.36
범일5동,1919,4224,10,7,22,0.44,0.2
범천1동,4078,12439,19,61,16,4.12,1.75
범천2동,7174,21811,23,9,28,7.22,3.07
보수동,2390,10345,27,23,30,1.61,0.92
복산동,2788,8959,9,15,32,2.2,1.86
봉래1동,1971,6532,3,36,14,0.52,0.78
봉래2동,2322,7624,1,3,26,0.6,0.91
부곡1동,3113,8027,8,11,14,0.99,1.15
부곡2동,6463,17613,10,17,13,2.18,2.52
부곡3동,6339,15350,7,55,53,1.9,2.2
부곡4동,3854,12359,9,18,17,1.53,1.77
부민동,2030,7447,12,36,14,0.87,0.62
부암1동,8294,22918,25,24,36,7.58,3.22
부암3동,5997,16970,11,22,31,5.62,2.39
부전1동,30921,15768,22,143,52,5.22,2.22
부전2동,5146,10699,15,216,26,3.54,1.5
부평동,1039,4374,14,64,6,0.68,0.39
사직1동,3892,10309,8,30,24,2.5,2.12
사직2동,9941,25526,18,43,56,6.04,5.12
사직3동,5698,17181,12,43,26,4.7,3.98
삼락동,3134,5569,16,33,38,1.46,1.4
서1동,1563,4979,3,8,10,0.61,0.71
서2동,2632,8814,3,30,15,1.09,1.26
서3동,3124,10782,6,33,17,1.33,1.54
서대신1동,4724,14808,7,28,31,1.74,1.23
서대신3동,2576,7658,6,14,24,0.9,0.64
서대신4동,2453,7403,6,33,26,0.87,0.62
선두구동,1509,2218,3,17,42,0.27,0.32
송정동,4286,9621,11,72,28,2.24,1.94
수민동,11697,31658,22,38,39,7.02,5.94
수영동,4833,14287,12,60,21,3.44,2.39
수정1동,1384,4033,4,10,6,0.42,0.19
수정2동,2677,9505,3,54,34,0.98,0.44
수정4동,863,3703,3,5,14,0.38,0.17
수정5동,1185,5056,2,3,27,0.52,0.23
신선동,1665,7810,0,6,47,0.62,0.93
신평1동,7925,16289,33,42,30,4.6,2.27
신평2동,7530,17588,29,39,35,4.96,2.45
아미동,1473,6181,4,8,51,0.73,0.51
안락1동,5863,14095,22,51,27,2.42,2.05
안락2동,10070,26457,31,59,47,4.17,3.53
암남동,6052,14649,25,43,51,1.72,1.22
양정1동,6776,19311,15,45,54,6.39,2.72
양정2동,3507,11751,9,41,25,3.89,1.65
엄궁동,11727,25411,19,54,36,6.65,6.38
연산1동,21172,16478,21,45,13,1.85,1.36
연산2동,13552,19941,18,27,43,2.24,1.65
연산3동,3564,10914,1,5,32,1.22,0.9
연산4동,4774,15844,8,63,26,1.78,1.31
연산5동,6007,16331,12,68,15,1.83,1.35
연산6동,4834,16304,10,20,32,1.83,1.35
연산8동,5152,13714,13,21,13,1.54,1.14
연산9동,14193,34098,35,55,31,3.82,2.82
연지동,9151,24402,16,25,22,8.08,3.43
영선1동,1018,3869,12,31,22,0.31,0.46
영선2동,2319,7855,9,13,22,0.62,0.94
영주1동,1358,4567,7,12,7,0.71,0.41
영주2동,1787,6841,2,6,22,1.06,0.61
온천1동,8459,22339,18,87,48,2.89,2.45
온천2동,9383,24366,9,48,82,3.28,2.78
온천3동,12977,37727,20,52,57,5.04,4.27
용당동,6371,8061,22,22,37,0.74,1.08
용호1동,17357,43228,44,90,41,3.97,5.78
용호2동,6617,16594,8,30,33,1.53,2.22
용호3동,3646,11838,3,37,13,1.09,1.58
용호4동,2722,8284,9,13,12,0.76,1.11
우1동,33743,21949,27,81,35,5.12,4.43
우2동,15066,30274,76,126,46,7.06,6.12
우3동,10497,28384,45,63,11,6.62,5.73
우암동,4931,12682,12,15,52,1.17,1.7
일광읍,14040,28137,21,96,143,8.86,9.33
장림1동,5399,10458,24,56,53,2.95,1.46
장림2동,10595,26665,22,59,79,7.53,3.71
장안읍,7005,8721,48,73,123,2.75,2.89
장전1동,5232,17993,10,46,19,2.22,2.58
장전2동,9713,26049,35,87,61,3.22,3.73
재송1동,17265,37136,46,77,66,8.66,7.5
재송2동,9280,23419,12,46,31,5.46,4.73
전포1동,8056,21221,24,85,64,7.02,2.98
전포2동,7492,22765,20,47,45,7.53,3.2
정관읍,37213,80992,162,169,194,25.51,26.87
좌1동,6632,17620,50,94,35,4.11,3.56
좌2동,11440,31270,30,50,33,7.29,6.32
좌3동,5852,15631,21,6,18,3.65,3.16
좌4동,8781,22661,20,18,26,5.28,4.58
좌천동,3797,11659,5,10,21,1.2,0.54
